             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      14601308_626      rome gfe_tran mizukura  R    3:49:16      1 at143
      14601308_625      rome gfe_tran mizukura  R    4:04:17      1 at143
      14601308_624      rome gfe_tran mizukura  R    4:26:48      1 at140
      14601308_623      rome gfe_tran mizukura  R    4:44:19      1 at142
      14601308_620      rome gfe_tran mizukura  R    4:57:50      1 at142
      14601308_619      rome gfe_tran mizukura  R    5:02:20      1 at140
      14601308_617      rome gfe_tran mizukura  R    5:21:51      1 at143
      14601308_604      rome gfe_tran mizukura  R    7:46:32      1 at145
      14601308_603      rome gfe_tran mizukura  R    7:50:32      1 at142
      14601308_599      rome gfe_tran mizukura  R    8:24:35      1 at143
      14601308_595      rome gfe_tran mizukura  R    9:11:41      1 at141
      14601308_590      rome gfe_tran mizukura  R   10:05:11      1 at143
      14601308_581      rome gfe_tran mizukura  R   12:11:53      1 at140
      14601308_580      rome gfe_tran mizukura  R   12:12:19      1 at145
      14601308_566      rome gfe_tran mizukura  R   13:51:43      1 at141
      14601308_558      rome gfe_tran mizukura  R   15:16:44      1 at140
      14675696_113      rome AF2_Scan  chicest  R 2-12:33:53      1 at139
          14671249      rome FATE_Tre kodamaf2  R 13-19:15:55      1 at142
14601308_[639-1234 rome,epyc gfe_tran mizukura PD       0:00      1 (Priority)
          14838980     short knit_rsc mitsutom  R      16:44      1 at137
          14829044 shruti-c7 MacseAna shruti_b  R 1-16:25:17      1 shruti-vm
